,precision,recall,f1-score,support
0,0.9761904761904762,1.0,0.9879518072289156,82.0
1,1.0,0.9489795918367347,0.9738219895287958,98.0
2,0.9397590361445783,0.9873417721518988,0.9629629629629629,79.0
3,0.9888888888888889,0.978021978021978,0.9834254143646409,91.0
4,1.0,0.9879518072289156,0.9939393939393939,83.0
5,0.9811320754716981,0.9904761904761905,0.985781990521327,105.0
6,0.9882352941176471,1.0,0.9940828402366864,84.0
7,1.0,1.0,1.0,81.0
8,1.0,0.9876543209876543,0.9937888198757764,81.0
9,1.0,1.0,1.0,79.0
10,0.9397590361445783,0.9873417721518988,0.9629629629629629,79.0
11,0.9871794871794872,0.9390243902439024,0.9625,82.0
12,1.0,1.0,1.0,78.0
13,1.0,1.0,1.0,76.0
14,1.0,1.0,1.0,74.0
accuracy,0.9864217252396166,0.9864217252396166,0.9864217252396166,0.9864217252396166
macro avg,0.9867429529424903,0.9871194548732782,0.9867478787747642,1252.0
weighted avg,0.9868193180722682,0.9864217252396166,0.9864340221353451,1252.0
