,precision,recall,f1-score,support
0,0.06751824817518248,1.0,0.1264957264957265,74.0
1,0.0,0.0,0.0,85.0
2,0.0,0.0,0.0,66.0
3,0.0,0.0,0.0,81.0
4,0.0,0.0,0.0,74.0
5,0.0,0.0,0.0,91.0
6,0.0,0.0,0.0,75.0
7,0.0,0.0,0.0,74.0
8,0.0,0.0,0.0,72.0
9,0.0,0.0,0.0,67.0
10,0.0,0.0,0.0,63.0
11,0.0,0.0,0.0,75.0
12,0.0,0.0,0.0,66.0
13,0.0,0.0,0.0,67.0
14,0.0,0.0,0.0,66.0
accuracy,0.06751824817518248,0.06751824817518248,0.06751824817518248,0.06751824817518248
macro avg,0.004501216545012165,0.06666666666666667,0.008433048433048432,1096.0
weighted avg,0.004558713836645532,0.06751824817518248,0.008540769854638466,1096.0
