,precision,recall,f1-score,support
0,0.8913043478260869,1.0,0.9425287356321839,82.0
1,0.0,0.0,0.0,98.0
2,0.632,1.0,0.7745098039215687,79.0
3,0.0,0.0,0.0,91.0
4,0.9010989010989011,0.9879518072289156,0.9425287356321839,83.0
5,0.0,0.0,0.0,105.0
6,1.0,0.11904761904761904,0.2127659574468085,84.0
7,0.0,0.0,0.0,81.0
8,0.6183206106870229,1.0,0.7641509433962265,81.0
9,0.12887438825448613,1.0,0.22832369942196531,79.0
10,0.0,0.0,0.0,79.0
11,0.0,0.0,0.0,82.0
12,0.0,0.0,0.0,78.0
13,0.5476190476190477,0.9078947368421053,0.6831683168316832,76.0
14,1.0,0.8648648648648649,0.927536231884058,74.0
accuracy,0.43610223642172524,0.43610223642172524,0.43610223642172524,0.43610223642172524
macro avg,0.3812811530323696,0.45865060186556694,0.3650341616111118,1252.0
weighted avg,0.36556729957647666,0.43610223642172524,0.3474985049702109,1252.0
