,precision,recall,f1-score,support
0,1.0,1.0,1.0,93.0
1,1.0,1.0,1.0,112.0
2,1.0,1.0,1.0,85.0
3,1.0,0.9230769230769231,0.96,104.0
4,0.92,1.0,0.9583333333333334,92.0
5,0.9826086956521739,0.9912280701754386,0.9868995633187773,114.0
6,0.9886363636363636,0.9775280898876404,0.9830508474576272,89.0
7,1.0,1.0,1.0,87.0
8,1.0,1.0,1.0,91.0
9,1.0,1.0,1.0,87.0
10,0.5304878048780488,1.0,0.6932270916334662,87.0
11,1.0,0.13829787234042554,0.24299065420560748,94.0
12,0.9587628865979382,1.0,0.9789473684210527,93.0
13,1.0,1.0,1.0,92.0
14,1.0,1.0,1.0,89.0
accuracy,0.9347054648687012,0.9347054648687012,0.9347054648687012,0.9347054648687012
macro avg,0.9586997167176351,0.9353420636986952,0.9202299238913244,1409.0
weighted avg,0.960939258442855,0.9347054648687012,0.9213617643998103,1409.0
