,precision,recall,f1-score,support
0,1.0,1.0,1.0,67.0
1,1.0,0.9577464788732394,0.9784172661870504,71.0
2,0.9491525423728814,1.0,0.9739130434782609,56.0
3,1.0,1.0,1.0,67.0
4,1.0,1.0,1.0,66.0
5,1.0,1.0,1.0,74.0
6,1.0,1.0,1.0,63.0
7,1.0,1.0,1.0,61.0
8,1.0,0.9491525423728814,0.9739130434782609,59.0
9,0.9508196721311475,1.0,0.9747899159663865,58.0
10,1.0,1.0,1.0,56.0
11,1.0,0.9852941176470589,0.9925925925925926,68.0
12,0.9830508474576272,1.0,0.9914529914529915,58.0
13,1.0,1.0,1.0,56.0
14,1.0,1.0,1.0,59.0
accuracy,0.9925452609158679,0.9925452609158679,0.9925452609158679,0.9925452609158679
macro avg,0.9922015374641106,0.992812875926212,0.9923385902103695,939.0
weighted avg,0.9928828887210119,0.9925452609158679,0.9925516622214068,939.0
