,precision,recall,f1-score,support
0,0.9166666666666666,1.0,0.9565217391304348,11.0
1,1.0,1.0,1.0,13.0
2,1.0,1.0,1.0,9.0
3,1.0,1.0,1.0,11.0
4,1.0,1.0,1.0,10.0
5,1.0,1.0,1.0,12.0
6,1.0,1.0,1.0,11.0
7,1.0,1.0,1.0,11.0
8,1.0,0.9090909090909091,0.9523809523809523,11.0
9,1.0,1.0,1.0,11.0
10,1.0,1.0,1.0,16.0
11,1.0,1.0,1.0,10.0
12,1.0,1.0,1.0,3.0
13,1.0,1.0,1.0,10.0
14,1.0,1.0,1.0,8.0
accuracy,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076
macro avg,0.9944444444444444,0.9939393939393939,0.9939268461007591,157.0
weighted avg,0.9941613588110402,0.9936305732484076,0.9936173860294603,157.0
