,precision,recall,f1-score,support
0,0.9444444444444444,1.0,0.9714285714285714,17.0
1,1.0,1.0,1.0,23.0
2,1.0,1.0,1.0,16.0
3,1.0,1.0,1.0,20.0
4,1.0,1.0,1.0,22.0
5,1.0,1.0,1.0,23.0
6,1.0,1.0,1.0,20.0
7,1.0,1.0,1.0,23.0
8,1.0,0.9473684210526315,0.972972972972973,19.0
9,1.0,1.0,1.0,25.0
10,1.0,1.0,1.0,31.0
11,1.0,1.0,1.0,22.0
12,1.0,1.0,1.0,12.0
13,1.0,1.0,1.0,23.0
14,1.0,1.0,1.0,17.0
accuracy,0.9968051118210862,0.9968051118210862,0.9968051118210862,0.9968051118210862
macro avg,0.9962962962962963,0.9964912280701754,0.9962934362934364,313.0
weighted avg,0.9969826056088037,0.9968051118210862,0.9968075789162051,313.0
