,precision,recall,f1-score,support
0,1.0,1.0,1.0,93.0
1,0.9818181818181818,0.9642857142857143,0.972972972972973,112.0
2,0.9325842696629213,0.9764705882352941,0.9540229885057471,85.0
3,1.0,0.875,0.9333333333333333,104.0
4,0.9787234042553191,1.0,0.989247311827957,92.0
5,0.9661016949152542,1.0,0.9827586206896551,114.0
6,0.9270833333333334,1.0,0.9621621621621622,89.0
7,1.0,1.0,1.0,87.0
8,1.0,0.8791208791208791,0.935672514619883,91.0
9,0.90625,1.0,0.9508196721311475,87.0
10,0.7226890756302521,0.9885057471264368,0.8349514563106796,87.0
11,0.9838709677419355,0.648936170212766,0.782051282051282,94.0
12,1.0,1.0,1.0,93.0
13,1.0,1.0,1.0,92.0
14,1.0,1.0,1.0,89.0
accuracy,0.9545777146912704,0.9545777146912704,0.9545777146912704,0.9545777146912704
macro avg,0.9599413951571465,0.9554879399320727,0.9531994876403214,1409.0
weighted avg,0.9617625499723588,0.9545777146912704,0.9537476004680782,1409.0
