,precision,recall,f1-score,support
0,1.0,0.6875,0.8148148148148148,48.0
1,1.0,1.0,1.0,42.0
2,1.0,0.8125,0.896551724137931,32.0
3,1.0,0.044444444444444446,0.0851063829787234,45.0
4,1.0,0.5116279069767442,0.676923076923077,43.0
5,0.654320987654321,1.0,0.7910447761194029,53.0
6,0.3404255319148936,1.0,0.5079365079365079,32.0
7,1.0,0.8888888888888888,0.9411764705882353,45.0
8,1.0,1.0,1.0,37.0
9,1.0,1.0,1.0,44.0
10,1.0,1.0,1.0,44.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,38.0
13,1.0,1.0,1.0,42.0
14,1.0,1.0,1.0,43.0
accuracy,0.8562300319488818,0.8562300319488818,0.8562300319488818,0.8562300319488818
macro avg,0.9329831013046144,0.8629974160206718,0.8475702502332463,626.0
weighted avg,0.937016979819418,0.8562300319488818,0.8454800773003627,626.0
