,precision,recall,f1-score,support
0,0.96875,1.0,0.9841269841269841,31.0
1,1.0,1.0,1.0,30.0
2,1.0,1.0,1.0,25.0
3,1.0,1.0,1.0,30.0
4,1.0,1.0,1.0,31.0
5,1.0,1.0,1.0,45.0
6,1.0,1.0,1.0,27.0
7,1.0,1.0,1.0,32.0
8,1.0,0.9655172413793104,0.9824561403508771,29.0
9,1.0,1.0,1.0,30.0
10,1.0,1.0,1.0,38.0
11,1.0,1.0,1.0,32.0
12,1.0,1.0,1.0,28.0
13,1.0,1.0,1.0,32.0
14,1.0,1.0,1.0,30.0
accuracy,0.997872340425532,0.997872340425532,0.997872340425532,0.997872340425532
macro avg,0.9979166666666667,0.9977011494252873,0.9977722082985241,470.0
weighted avg,0.997938829787234,0.997872340425532,0.9978705629321531,470.0
