,precision,recall,f1-score,support
0,1.0,1.0,1.0,74.0
1,1.0,0.9882352941176471,0.9940828402366864,85.0
2,0.9850746268656716,1.0,0.9924812030075187,66.0
3,0.9875,0.9753086419753086,0.9813664596273292,81.0
4,1.0,1.0,1.0,74.0
5,0.9782608695652174,0.989010989010989,0.9836065573770492,91.0
6,1.0,1.0,1.0,75.0
7,1.0,1.0,1.0,74.0
8,1.0,1.0,1.0,72.0
9,1.0,1.0,1.0,67.0
10,0.96875,0.9841269841269841,0.9763779527559056,63.0
11,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
12,1.0,1.0,1.0,66.0
13,1.0,1.0,1.0,67.0
14,1.0,1.0,1.0,66.0
accuracy,0.9936131386861314,0.9936131386861314,0.9936131386861314,0.9936131386861314
macro avg,0.9937381321944917,0.9940010161709508,0.9938520523211046,1096.0
weighted avg,0.9936513695164741,0.9936131386861314,0.9936144385759742,1096.0
