,precision,recall,f1-score,support
0,1.0,0.8414634146341463,0.9139072847682119,82.0
1,1.0,0.7448979591836735,0.8538011695906432,98.0
2,0.75,0.9493670886075949,0.8379888268156425,79.0
3,1.0,0.38461538461538464,0.5555555555555556,91.0
4,1.0,0.37349397590361444,0.543859649122807,83.0
5,0.0,0.0,0.0,105.0
6,0.25846153846153846,1.0,0.41075794621026895,84.0
7,1.0,1.0,1.0,81.0
8,0.0,0.0,0.0,81.0
9,0.9859154929577465,0.8860759493670886,0.9333333333333333,79.0
10,1.0,0.22784810126582278,0.3711340206185567,79.0
11,1.0,0.4146341463414634,0.5862068965517241,82.0
12,0.2698961937716263,1.0,0.4250681198910082,78.0
13,1.0,0.631578947368421,0.7741935483870968,76.0
14,0.9487179487179487,1.0,0.9736842105263158,74.0
accuracy,0.6150159744408946,0.6150159744408946,0.6150159744408946,0.6150159744408946
macro avg,0.7475327449272573,0.6302649978191474,0.6119660374247443,1252.0
weighted avg,0.7365056904902127,0.6150159744408946,0.599985738251621,1252.0
