,precision,recall,f1-score,support
0,1.0,1.0,1.0,63.0
1,1.0,0.9642857142857143,0.9818181818181818,56.0
2,1.0,1.0,1.0,46.0
3,1.0,1.0,1.0,55.0
4,0.828125,1.0,0.905982905982906,53.0
5,0.7078651685393258,1.0,0.8289473684210527,63.0
6,1.0,0.3137254901960784,0.47761194029850745,51.0
7,1.0,1.0,1.0,53.0
8,1.0,1.0,1.0,47.0
9,1.0,1.0,1.0,49.0
10,1.0,1.0,1.0,48.0
11,1.0,1.0,1.0,53.0
12,1.0,1.0,1.0,44.0
13,1.0,1.0,1.0,51.0
14,1.0,1.0,1.0,51.0
accuracy,0.9527458492975734,0.9527458492975734,0.9527458492975734,0.9527458492975734
macro avg,0.9690660112359549,0.9518674136321195,0.9462906931013765,783.0
weighted avg,0.9648609586436495,0.9527458492975734,0.9445476441438856,783.0
