,precision,recall,f1-score,support
0,1.0,1.0,1.0,93.0
1,1.0,1.0,1.0,112.0
2,1.0,1.0,1.0,85.0
3,1.0,0.9903846153846154,0.9951690821256038,104.0
4,1.0,1.0,1.0,92.0
5,1.0,1.0,1.0,114.0
6,1.0,1.0,1.0,89.0
7,0.9886363636363636,1.0,0.9942857142857143,87.0
8,1.0,1.0,1.0,91.0
9,1.0,1.0,1.0,87.0
10,1.0,1.0,1.0,87.0
11,1.0,1.0,1.0,94.0
12,1.0,1.0,1.0,93.0
13,1.0,1.0,1.0,92.0
14,1.0,1.0,1.0,89.0
accuracy,0.9992902767920511,0.9992902767920511,0.9992902767920511,0.9992902767920511
macro avg,0.9992424242424243,0.9993589743589744,0.9992969864274212,1409.0
weighted avg,0.999298341828505,0.9992902767920511,0.9992905902653797,1409.0
