,precision,recall,f1-score,support
0,0.9761904761904762,1.0,0.9879518072289156,82.0
1,1.0,1.0,1.0,98.0
2,1.0,1.0,1.0,79.0
3,1.0,0.9230769230769231,0.96,91.0
4,1.0,0.9879518072289156,0.9939393939393939,83.0
5,0.9905660377358491,1.0,0.995260663507109,105.0
6,0.9230769230769231,1.0,0.96,84.0
7,1.0,1.0,1.0,81.0
8,1.0,0.9382716049382716,0.9681528662420382,81.0
9,0.9634146341463414,1.0,0.9813664596273292,79.0
10,0.9753086419753086,1.0,0.9875,79.0
11,1.0,0.975609756097561,0.9876543209876543,82.0
12,1.0,1.0,1.0,78.0
13,1.0,1.0,1.0,76.0
14,1.0,1.0,1.0,74.0
accuracy,0.9880191693290735,0.9880191693290735,0.9880191693290735,0.9880191693290735
macro avg,0.9885704475416598,0.9883273394227781,0.9881217007688294,1252.0
weighted avg,0.9886219276053956,0.9880191693290735,0.9879871200919642,1252.0
