,precision,recall,f1-score,support
0,1.0,1.0,1.0,67.0
1,1.0,1.0,1.0,71.0
2,0.45528455284552843,1.0,0.6256983240223464,56.0
3,1.0,0.9850746268656716,0.9924812030075187,67.0
4,1.0,0.9848484848484849,0.9923664122137404,66.0
5,1.0,0.972972972972973,0.9863013698630136,74.0
6,1.0,0.19047619047619047,0.32,63.0
7,1.0,0.8032786885245902,0.8909090909090909,61.0
8,1.0,1.0,1.0,59.0
9,1.0,1.0,1.0,58.0
10,1.0,1.0,1.0,56.0
11,1.0,0.9411764705882353,0.9696969696969697,68.0
12,0.9354838709677419,1.0,0.9666666666666667,58.0
13,1.0,1.0,1.0,56.0
14,1.0,1.0,1.0,59.0
accuracy,0.9243876464323749,0.9243876464323749,0.9243876464323749,0.9243876464323749
macro avg,0.9593845615875514,0.9251884956184097,0.9162746690919565,939.0
weighted avg,0.9635292859163777,0.9243876464323749,0.918561604338914,939.0
