,precision,recall,f1-score,support
0,1.0,1.0,1.0,48.0
1,1.0,1.0,1.0,42.0
2,1.0,1.0,1.0,32.0
3,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
4,1.0,1.0,1.0,43.0
5,1.0,1.0,1.0,53.0
6,0.9375,0.9375,0.9375,32.0
7,1.0,1.0,1.0,45.0
8,0.9736842105263158,1.0,0.9866666666666667,37.0
9,1.0,0.9772727272727273,0.9885057471264368,44.0
10,1.0,1.0,1.0,44.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,38.0
13,1.0,1.0,1.0,42.0
14,1.0,1.0,1.0,43.0
accuracy,0.9920127795527156,0.9920127795527156,0.9920127795527156,0.9920127795527156
macro avg,0.991115984405458,0.9913552188552188,0.9912151979565773,626.0
weighted avg,0.9920548175550699,0.9920127795527156,0.992014248466821,626.0
