,precision,recall,f1-score,support
0,1.0,1.0,1.0,67.0
1,1.0,1.0,1.0,71.0
2,1.0,1.0,1.0,56.0
3,1.0,0.8955223880597015,0.9448818897637795,67.0
4,0.9705882352941176,1.0,0.9850746268656716,66.0
5,0.9866666666666667,1.0,0.9932885906040269,74.0
6,0.9402985074626866,1.0,0.9692307692307692,63.0
7,1.0,1.0,1.0,61.0
8,1.0,1.0,1.0,59.0
9,1.0,1.0,1.0,58.0
10,1.0,1.0,1.0,56.0
11,1.0,1.0,1.0,68.0
12,1.0,1.0,1.0,58.0
13,1.0,1.0,1.0,56.0
14,1.0,1.0,1.0,59.0
accuracy,0.9925452609158679,0.9925452609158679,0.9925452609158679,0.9925452609158679
macro avg,0.9931702272948981,0.9930348258706467,0.9928317250976165,939.0
weighted avg,0.9928764247421665,0.9925452609158679,0.9924248201848179,939.0
