,precision,recall,f1-score,support
0,1.0,1.0,1.0,48.0
1,1.0,1.0,1.0,42.0
2,1.0,1.0,1.0,32.0
3,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
4,1.0,1.0,1.0,43.0
5,0.9811320754716981,0.9811320754716981,0.9811320754716981,53.0
6,1.0,1.0,1.0,32.0
7,1.0,1.0,1.0,45.0
8,1.0,0.972972972972973,0.9863013698630136,37.0
9,0.9777777777777777,1.0,0.9887640449438202,44.0
10,1.0,1.0,1.0,44.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,38.0
13,1.0,1.0,1.0,42.0
14,1.0,1.0,1.0,43.0
accuracy,0.9952076677316294,0.9952076677316294,0.9952076677316294,0.9952076677316294
macro avg,0.9957791754018169,0.9954588550814966,0.995598351203754,626.0
weighted avg,0.9952431664891729,0.9952076677316294,0.9952057007387534,626.0
