,precision,recall,f1-score,support
0,0.0660042583392477,1.0,0.12383488681757657,93.0
1,0.0,0.0,0.0,112.0
2,0.0,0.0,0.0,85.0
3,0.0,0.0,0.0,104.0
4,0.0,0.0,0.0,92.0
5,0.0,0.0,0.0,114.0
6,0.0,0.0,0.0,89.0
7,0.0,0.0,0.0,87.0
8,0.0,0.0,0.0,91.0
9,0.0,0.0,0.0,87.0
10,0.0,0.0,0.0,87.0
11,0.0,0.0,0.0,94.0
12,0.0,0.0,0.0,93.0
13,0.0,0.0,0.0,92.0
14,0.0,0.0,0.0,89.0
accuracy,0.0660042583392477,0.0660042583392477,0.0660042583392477,0.0660042583392477
macro avg,0.00440028388928318,0.06666666666666667,0.00825565912117177,1409.0
weighted avg,0.004356562118914149,0.0660042583392477,0.008173629860918822,1409.0
