,precision,recall,f1-score,support
0,1.0,1.0,1.0,74.0
1,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,66.0
3,0.9753086419753086,0.9753086419753086,0.9753086419753086,81.0
4,1.0,0.9864864864864865,0.9931972789115646,74.0
5,0.9782608695652174,0.989010989010989,0.9836065573770492,91.0
6,1.0,1.0,1.0,75.0
7,1.0,1.0,1.0,74.0
8,1.0,0.8472222222222222,0.9172932330827067,72.0
9,0.8589743589743589,1.0,0.9241379310344827,67.0
10,0.96875,0.9841269841269841,0.9763779527559056,63.0
11,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
12,1.0,1.0,1.0,66.0
13,1.0,1.0,1.0,67.0
14,1.0,1.0,1.0,66.0
accuracy,0.9835766423357665,0.9835766423357665,0.9835766423357665,0.9835766423357665
macro avg,0.9845186904667581,0.9836992438103548,0.9833191577966065,1096.0
weighted avg,0.985028063565879,0.9835766423357665,0.9835482604302559,1096.0
