,precision,recall,f1-score,support
0,1.0,1.0,1.0,31.0
1,1.0,0.9666666666666667,0.9830508474576272,30.0
2,0.9615384615384616,1.0,0.9803921568627451,25.0
3,1.0,1.0,1.0,30.0
4,1.0,1.0,1.0,31.0
5,1.0,1.0,1.0,45.0
6,1.0,1.0,1.0,27.0
7,1.0,1.0,1.0,32.0
8,1.0,1.0,1.0,29.0
9,1.0,1.0,1.0,30.0
10,1.0,1.0,1.0,38.0
11,1.0,1.0,1.0,32.0
12,1.0,1.0,1.0,28.0
13,1.0,1.0,1.0,32.0
14,1.0,1.0,1.0,30.0
accuracy,0.997872340425532,0.997872340425532,0.997872340425532,0.997872340425532
macro avg,0.9974358974358974,0.9977777777777778,0.9975628669546914,470.0
weighted avg,0.9979541734860884,0.997872340425532,0.9978751688197818,470.0
