,precision,recall,f1-score,support
0,1.0,1.0,1.0,67.0
1,1.0,1.0,1.0,71.0
2,1.0,1.0,1.0,56.0
3,0.9852941176470589,1.0,0.9925925925925926,67.0
4,1.0,0.9848484848484849,0.9923664122137404,66.0
5,1.0,1.0,1.0,74.0
6,1.0,0.9841269841269841,0.992,63.0
7,0.9838709677419355,1.0,0.991869918699187,61.0
8,1.0,1.0,1.0,59.0
9,1.0,1.0,1.0,58.0
10,1.0,1.0,1.0,56.0
11,1.0,1.0,1.0,68.0
12,1.0,1.0,1.0,58.0
13,1.0,1.0,1.0,56.0
14,1.0,1.0,1.0,59.0
accuracy,0.9978700745473909,0.9978700745473909,0.9978700745473909,0.9978700745473909
macro avg,0.9979443390259329,0.9979316979316979,0.9979219282337013,939.0
weighted avg,0.9979029125821203,0.9978700745473909,0.9978700233764228,939.0
