,precision,recall,f1-score,support
0,0.07135250266240682,1.0,0.13320079522862824,67.0
1,0.0,0.0,0.0,71.0
2,0.0,0.0,0.0,56.0
3,0.0,0.0,0.0,67.0
4,0.0,0.0,0.0,66.0
5,0.0,0.0,0.0,74.0
6,0.0,0.0,0.0,63.0
7,0.0,0.0,0.0,61.0
8,0.0,0.0,0.0,59.0
9,0.0,0.0,0.0,58.0
10,0.0,0.0,0.0,56.0
11,0.0,0.0,0.0,68.0
12,0.0,0.0,0.0,58.0
13,0.0,0.0,0.0,56.0
14,0.0,0.0,0.0,59.0
accuracy,0.07135250266240682,0.07135250266240682,0.07135250266240682,0.07135250266240682
macro avg,0.004756833510827121,0.06666666666666667,0.008880053015241883,939.0
weighted avg,0.005091179636188772,0.07135250266240682,0.0095042100961854,939.0
